City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,chibougamau,49.9168,-74.3659,-15.21,92,20,0.0,CA,1701562859
190,zaozersk,69.4005,32.4476,-0.83,95,100,6.12,RU,1701562870
191,anadyr,64.75,177.4833,-18.72,84,100,3.0,RU,1701562881
192,qina,26.1642,32.7267,18.36,37,0,1.44,EG,1701562892
193,ketchikan,55.3422,-131.6461,4.99,93,75,1.54,US,1701562902
194,san patricio,28.017,-97.5169,21.02,62,90,3.5,US,1701562912
195,nemuro,43.3236,145.575,2.67,59,14,4.26,JP,1701562923
196,maun,-19.9833,23.4167,23.98,41,0,1.54,BW,1701562933
197,chazuta,-6.5742,-76.1367,30.47,73,30,1.05,PE,1701562944
198,sarmiento,-45.5882,-69.07,11.57,28,82,11.07,AR,1701562954
199,guerrero negro,27.9769,-114.0611,19.7,47,2,5.44,MX,1701562849
200,bopolu,7.0667,-10.4875,23.7,93,42,0.5,LR,1701562975
201,cheremukhovo,60.3484,59.9851,-15.1,94,100,4.47,RU,1701562985
202,ziro,27.6333,93.8333,2.41,70,43,1.15,IN,1701562995
203,kyzyl-suu,42.3414,78.0056,0.59,49,47,3.7,KG,1701563006
204,afzalpur,17.2,76.35,22.05,71,95,3.2,IN,1701563016
205,cabo san lucas,22.8909,-109.9124,25.28,57,0,4.63,MX,1701562828
206,stung treng,13.5259,105.9683,22.52,87,100,1.88,KH,1701563047
207,siracusa,37.0881,15.2792,14.77,66,98,1.32,IT,1701563057
208,mount isa,-20.7333,139.5,33.87,43,64,3.09,AU,1701563067
209,sao joao da barra,-21.6403,-41.0511,25.05,90,9,7.08,BR,1701563078
210,galliano,29.4422,-90.2992,23.33,94,100,3.92,US,1701563088
211,mahina,-17.5065,-149.489,30.87,58,75,4.63,PF,1701563098
212,hilo,19.7297,-155.09,27.27,83,75,4.63,US,1701562902
213,yuzhno-kurilsk,44.0306,145.8556,1.32,64,49,3.55,RU,1701563119
214,bambanglipuro,-7.95,110.2833,26.08,82,100,1.98,ID,1701563129
215,kill devil hills,36.0307,-75.676,18.01,98,100,0.0,US,1701562901
216,kodinsk,58.6881,99.1844,-7.53,92,98,4.13,RU,1701563150
217,namibe,-15.1961,12.1522,22.16,84,100,2.56,AO,1701563160
218,yerofey pavlovich,53.9667,121.9667,-19.57,97,90,1.01,RU,1701563170
219,edinburgh of the seven seas,-37.0676,-12.3116,13.89,78,100,2.84,SH,1701563181
220,port-cartier,50.0334,-66.8654,-6.18,87,75,2.78,CA,1701563191
221,aasiaat,68.7098,-52.8699,-12.64,87,49,2.33,GL,1701563201
222,polyarnyy,69.1989,33.4478,-0.36,91,100,6.1,RU,1701563212
223,troitskiy,57.0603,63.7481,-10.31,93,100,6.9,RU,1701563222
224,kapa'a,22.0752,-159.319,27.88,73,0,3.09,US,1701563024
225,barcelos,41.5388,-8.6151,9.4,88,6,1.99,PT,1701563243
226,bitkine,11.9801,18.2138,25.13,17,7,2.41,TD,1701563253
227,campestre,-21.7111,-46.2464,21.37,57,26,2.02,BR,1701563263
228,fort bragg,35.139,-79.006,19.32,92,100,0.0,US,1701563273
229,nizhnyaya salda,58.0776,60.7202,-13.24,93,100,5.53,RU,1701563284
230,lima duarte,-21.8425,-43.7931,20.56,93,12,0.97,BR,1701563294
231,kapuskasing,49.4169,-82.4331,-5.95,92,75,1.03,CA,1701563304
232,lushun,38.8,121.2667,-0.88,53,2,3.2,CN,1701563315
233,island harbour,50.724,-1.2758,7.74,80,85,2.68,GB,1701563325
234,remire-montjoly,4.9167,-52.2667,27.02,78,40,1.03,GF,1701563335
235,la resolana,19.6,-104.4333,24.93,75,100,0.74,MX,1701563346
236,xinqing,48.2333,129.5,-14.41,91,79,2.62,CN,1701563356
237,ciudad lazaro cardenas,17.9583,-102.2,26.88,69,36,1.65,MX,1701563366
238,guiuan,11.0333,125.7247,28.15,79,66,8.1,PH,1701563377
239,corumba,-19.0092,-57.6533,28.51,56,68,1.47,BR,1701563387
240,ulety,51.3572,112.4849,-8.25,85,100,4.8,RU,1701563397
241,vorgashor,67.5833,63.95,-22.19,97,73,2.1,RU,1701563407
242,guaruja,-23.9931,-46.2564,27.69,26,31,4.47,BR,1701563418
243,sinabang,2.4803,96.3801,24.64,94,100,2.81,ID,1701563428
244,qarazhal,48.0078,70.7903,3.84,62,100,10.7,KZ,1701563439
245,gao,16.6362,1.637,24.24,17,5,3.26,ML,1701563449
246,plastun,44.7561,136.2939,-4.47,55,0,3.74,RU,1701563459
247,schnaittach,49.5592,11.3431,-3.57,97,82,1.86,DE,1701563480
248,sarkand,45.41,79.9186,4.7,31,73,2.91,KZ,1701563490
249,al jawf,29.5,38.75,13.95,48,0,2.44,SA,1701563500
250,bodden town,19.2833,-81.25,28.0,83,20,3.6,KY,1701563511
251,winslow,35.0242,-110.6974,9.1,31,0,0.0,US,1701563521
252,hampton bays,40.869,-72.5176,9.39,97,100,2.57,US,1701563457
253,moussoro,13.6408,16.4901,24.16,11,21,5.08,TD,1701563541
254,khvoynaya,58.9,34.5333,-16.84,100,83,0.48,RU,1701563552
255,pingyin,36.2831,116.4453,3.77,31,5,2.33,CN,1701563562
256,carlisle,40.2015,-77.1889,10.78,96,100,1.21,US,1701563182
257,kibuye,-2.0597,29.3482,18.07,83,75,0.4,RW,1701563582
258,shanwei,22.782,115.3475,17.77,73,88,2.59,CN,1701563377
